County Code, County Name, District Code, District Name, School Code, School Name, Address1, City, State, Zip, Phone
01,ATLANTIC,0010,Absecon Public Schools,050,Emma C Attales,800 IRELAN AVENUE,ABSECON,NJ,08201,(609)641-5375
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,800 IRELAN AVE,ABSECON,NJ,08201,(609)641-5375
01,ATLANTIC,0110,Atlantic City Public Schools,010,Atlantic City High School,1400 N Albany Avenue,Atlantic City,NJ,08401-6153,(609)343-7300
01,ATLANTIC,0110,Atlantic City Public Schools,300,Brighton Avenue School,30 N. Brighton Avenue,Atlantic City,NJ,08401,(609)343-7200
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,4101  Filbert Avenue,Atlantic City,NJ,08401-1023,(609)343-7272
01,ATLANTIC,0110,Atlantic City Public Schools,140,Dr Martin Luther King Jr School Complex,1700 Marmora Avenue,Atlantic City,NJ,08401,(609)343-7380
01,ATLANTIC,0110,Atlantic City Public Schools,070,New York Avenue School,411 N New York Avenue,Atlantic City,NJ,08401,(609)343-7280
01,ATLANTIC,0110,Atlantic City Public Schools,100,PENNSYLVANIA AVE SCHOOL,201 N. Pennsylvania Avenue,Atlantic City,NJ,08401-5235,(609)343-7290
01,ATLANTIC,0110,Atlantic City Public Schools,120,Richmond Avenue School,4115 Ventnor Avenue,Atlantic City,NJ,08401-5860,(609)343-7200
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,3205 Arctic Avenue,Atlantic City,NJ,08401-3711,(609)343-7260
01,ATLANTIC,0110,Atlantic City Public Schools,060,Texas Avenue School,2523 Arctic Avenue,Atlantic City,NJ,08401-3901,(609)343-7350
01,ATLANTIC,0110,Atlantic City Public Schools,080,Uptown School Complex,323 Madison Avenue,Atlantic City,NJ,08401-5417,(609)344-8809
01,ATLANTIC,0110,Atlantic City Public Schools,130,Venice Park School,1601 N Penrose Avenue,Atlantic City,NJ,08401-1710,(609)343-7270
01,ATLANTIC,0125,Atlantic County Special Services School District,030,Atlantic County Elementary and Middle Schools,4805 NAWAKWA BOULEVARD,MAYS LANDING,NJ,08330,(609)909-9147
01,ATLANTIC,0125,Atlantic County Special Services School District,060,Atlantic County High School,4805 NAWAKWA BOULEVARD,MAYS LANDING,NJ,08330,(609)625-5663
01,ATLANTIC,0120,Atlantic County Vocational School District,300,Atlantic County Alternative High School,1450 19th Street,Mays Landing,NJ,08330,(609)625-2249
01,ATLANTIC,0120,Atlantic County Vocational School District,010,Atlantic County Institute of Technology,5080 ATLANTIC AVENUE,MAYS LANDING,NJ,08330-2024,(609)625-2249
01,ATLANTIC,0590,BUENA REGIONAL SCHOOL DISTRICT,025,BUENA REGIONAL HIGH SCHOOL,125 WEYMOUTH ROAD,BUENA,NJ,08310-9620,(856)697-2400
01,ATLANTIC,0590,BUENA REGIONAL SCHOOL DISTRICT,030,BUENA REGIONAL MIDDLE SCHOOL,175 WEYMOUTH RD,BUENA,NJ,08310,(856)697-0800
01,ATLANTIC,0590,BUENA REGIONAL SCHOOL DISTRICT,045,COLLINGS LAKES ELEMENTARY SCHOOL,620 CAINS MILL RD  & LAKE GEOR,WILLIAMSTOWN,NJ,08094-8419,(856)885-4994
01,ATLANTIC,0590,BUENA REGIONAL SCHOOL DISTRICT,300,DR. J.P. CLEARY ELEMENTARY,1501 CENTRAL AVE,MINOTOLA,NJ,08341,(856)697-8080
01,ATLANTIC,0590,BUENA REGIONAL SCHOOL DISTRICT,055,JOHN C. MILANESI ELEMENTARY SCHOOL,880 HARDING HIGHWAY,BUENA,NJ,08310-9701,(856)697-0605
01,ATLANTIC,0570,Brigantine Public Schools,010,Brigantine Elementary School,301 E  EVANS BOULEVARD,BRIGANTINE,NJ,08203,(609)264-9501
01,ATLANTIC,0570,Brigantine Public Schools,030,Brigantine North Middle School,301 E  EVANS BOULEVARD,BRIGANTINE,NJ,08203,(609)266-3603
01,ATLANTIC,1300,EGG HARBOR CITY SCHOOL DISTRICT,020,Charles L. Spragg School,601 BUFFALO AVE,EGG HARBOR CITY,NJ,08215-2105,(609)965-1034
01,ATLANTIC,1300,EGG HARBOR CITY SCHOOL DISTRICT,030,EGG HARBOR CITY COMMUNITY SCH,730 Havana Avenue,EGG HARBOR CITY,NJ,08215-1547,(609)965-1034
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,038,ALDER AVENUE MIDDLE SCHOOL,25 ALDER AVENUE,EGG HARBOR TOWNSHIP,NJ,08234-5315,(609)383-3366
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,033,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,2501 SPRUCE AVENUE,EGG HARBOR TOWNSHIP,NJ,08234-4513,(609)645-3550
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,045,DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,2 ALDER AVENUE,EGG HARBOR TOWNSHIP,NJ,08234,(609)407-2500
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,035,E. H. SLAYBAUGH ELEMENTARY SCHOOL,11 SWIFT AVENUE,EGG HARBOR TOWNSHIP,NJ,08234-9697,(609)927-8222
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,24 HIGH SCHOOL DRIVE,EGG HARBOR TOWNSHIP,NJ,08234-9450,(609)653-0100
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,039,FERNWOOD AVENUE MIDDLE SCHOOL,4034 FERNWOOD AVENUE,EGG HARBOR TOWNSHIP,NJ,08234-5703,(609)383-3355
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,050,H. RUSSEL SWIFT ELEMENTARY SCHOOL,5 SWIFT DRIVE,EGG HARBOR TOWNSHIP,NJ,08234-9477,(609)927-4141
01,ATLANTIC,1410,ESTELL MANOR CITY SCHOOL DISTRICT,050,Estell Manor Elementary School,128 CAPE MAY AVENUE,ESTELL MANOR,NJ,08319-1735,(609)476-2267
01,ATLANTIC,1540,Folsom Borough School District,050,Folsom Elementary School,1357 Mays Landing Road,Folsom,NJ,08037,(609)561-8666
01,ATLANTIC,1690,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,015,Arthur Rann Elementary School,515 S EIGHTH AVE,GALLOWAY,NJ,08205,(609)748-1250
01,ATLANTIC,1690,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,016,Galloway Township Middle School,100 S  REEDS ROAD,GALLOWAY,NJ,08205,(609)748-1250
01,ATLANTIC,1690,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,040,Pomona Preschool,400 S  GENOA AVENUE,EGG HARBOR,NJ,08215,(609)748-1250
01,ATLANTIC,1690,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,045,Reeds Road Elementary School,103 SOUTH REEDS ROAD,GALLOWAY,NJ,08205,(609)748-1250
01,ATLANTIC,1690,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,046,Roland Rogers Elementary School,105 S  REEDS ROAD,GALLOWAY,NJ,08205,(609)748-1250
01,ATLANTIC,1690,GALLOWAY TOWNSHIP PUBLIC SCHOOLS,048,Smithville Elementary School,37 S  OLD PORT REPUBLIC ROAD,GALLOWAY,NJ,08205,(609)748-1250
01,ATLANTIC,1790,Greater Egg Harbor Regional High School District,040,Absegami High School,201 S  WRANGLEBORO ROAD,GALLOWAY,NJ,08205,(609)652-1372
01,ATLANTIC,1790,Greater Egg Harbor Regional High School District,060,Cedar Creek High School,1701 New York Ave.,EGG HARBOR CITY,NJ,08215,(609)593-3560
01,ATLANTIC,1790,Greater Egg Harbor Regional High School District,050,Oakcrest High School,1824 DR  DENNIS FOREMAN DRIVE,MAYS LANDING,NJ,08330-2640,(609)909-2600
01,ATLANTIC,1940,HAMILTON TOWNSHIP SCHOOL DISTRICT,055,GEORGE L. HESS EDUCATIONAL COMPLEX,700 BABCOCK ROAD,MAYS LANDING,NJ,08330,(609)476-6101
01,ATLANTIC,1940,HAMILTON TOWNSHIP SCHOOL DISTRICT,060,JOSEPH C SHANER MEMORIAL ELEMENTARY SCHOOL,5801 THIRD STREET,MAYS LANDING,NJ,08330,(609)476-6141
01,ATLANTIC,1940,HAMILTON TOWNSHIP SCHOOL DISTRICT,120,WILLIAM DAVIES MIDDLE SCHOOL,1876 DR  DENNIS FOREMAN DRIVE,MAYS LANDING,NJ,08330,(609)476-6241
01,ATLANTIC,1960,Hammonton School District,030,Hammonton Early Childhood Eductional Centr,601C NORTH 4TH STREET,HAMMONTON,NJ,08037,(609)567-6693
01,ATLANTIC,1960,Hammonton School District,050,Hammonton High School,566 OLD FORKS ROAD,HAMMONTON,NJ,08037,(609)567-7000
01,ATLANTIC,1960,Hammonton School District,060,Hammonton Middle School,75 NORTH LIBERTY STREET,HAMMONTON,NJ,08037-9425,(609)567-7007
01,ATLANTIC,1960,Hammonton School District,055,Warren E. Sooy Jr. Elementary School,601 N  FOURTH STREET,HAMMONTON,NJ,08037-9720,(609)567-7070
01,ATLANTIC,2680,Linwood City School District,020,Belhaven Middle School,51 BELHAVEN AVENUE,LINWOOD,NJ,08221,(609)926-6700
01,ATLANTIC,2680,Linwood City School District,050,Seaview Elementary School,2013 WABASH AVE,LINWOOD,NJ,08221,(609)926-6700
01,ATLANTIC,2910,MAINLAND REGIONAL HIGH SCHOOL DISTRICT,050,MAINLAND REGIONAL HIGH SCHOOL,1301 OAK AVENUE,LINWOOD,NJ,08221,(609)927-4151
01,ATLANTIC,3020,Margate City School District,010,Eugene A. Tighe Middle School,7804 AMHERST AVENUE,MARGATE,NJ,08402,(609)822-2353
01,ATLANTIC,3020,Margate City School District,025,William H. Ross III School,101 N  HAVERFORD AVENUE,MARGATE,NJ,08402,(609)822-2080
01,ATLANTIC,3480,Mullica Township School District,025,Mullica Township Middle School,500 ELWOOD ROAD,ELWOOD,NJ,08217-0318,(609)561-3868
01,ATLANTIC,3480,Mullica Township School District,020,Mullica Township Primary School,500 ELWOOD ROAD,ELWOOD,NJ,08217-0318,(609)561-3868
01,ATLANTIC,3720,Northfield City School District,057,Northfield Community Elementary School,2000 NEW ROAD,NORTHFIELD,NJ,08225,(609)407-4005
01,ATLANTIC,3720,Northfield City School District,056,Northfield Community Middle School,2000 NEW ROAD,NORTHFIELD,NJ,08225,(609)407-4008
01,ATLANTIC,4180,PLEASANTVILLE PUBLIC SCHOOL DISTRICT,100,Decatur Avenue Early Childhood Center,115 WEST DECATUR AVE,PLEASANTVILLE,NJ,08232-0960,(609)383-6800
01,ATLANTIC,4180,PLEASANTVILLE PUBLIC SCHOOL DISTRICT,080,Leeds Avenue Elementary School,100 W  LEEDS AVENUE,PLEASANTVILLE,NJ,08232,(609)383-6800
01,ATLANTIC,4180,PLEASANTVILLE PUBLIC SCHOOL DISTRICT,085,NORTH MAIN ST ELEMENTARY SCHOOL,215 NORTH MAIN STREET,PLEASANTVILLE,NJ,08232,(609)383-6800
01,ATLANTIC,4180,PLEASANTVILLE PUBLIC SCHOOL DISTRICT,050,PLEASANTVILLE HIGH SCHOOL,701 MILL ROAD,PLEASANTVILLE,NJ,08232,(609)383-6900
01,ATLANTIC,4180,PLEASANTVILLE PUBLIC SCHOOL DISTRICT,055,PLEASANTVILLE MIDDLE SCHOOL,801 MILL ROAD,PLEASANTVILLE,NJ,08232,(609)383-6800
01,ATLANTIC,4180,PLEASANTVILLE PUBLIC SCHOOL DISTRICT,095,SOUTH MAIN STREET ELEMENTARY SCHOOL,701 SOUTH MAIN STREET,PLEASANTVILLE,NJ,08232-3223,(609)383-6800
01,ATLANTIC,4180,PLEASANTVILLE PUBLIC SCHOOL DISTRICT,060,WASHINGTON AVENUE ELEMENTARY SCHOOL,225 W  WASHINGTON AVENUE,PLEASANTVILLE,NJ,08232,(609)383-6800
01,ATLANTIC,4240,Port Republic School District,050,Port Republic School District,137 POMONA AVENUE,PORT REPUBLIC,NJ,08241,(609)652-7377
01,ATLANTIC,4800,SOMERS POINT SCHOOL DISTRICT,050,Dawes Avenue Elementary School,22 W. Dawes Avenue,Somers Point,NJ,08244-1408,(609)653-1027
01,ATLANTIC,4800,SOMERS POINT SCHOOL DISTRICT,055,Jordan Road Elementary School,129 Jordan Road,Somers Point,NJ,08244-1408,(609)927-7161
01,ATLANTIC,4800,SOMERS POINT SCHOOL DISTRICT,060,New York Avenue Elementary School,121 WEST NEW YORK AVENUE,SOMERS POINT,NJ,08244-1408,(609)927-2053
01,ATLANTIC,5350,Ventnor City School District,045,Ventnor Elementary School,400 N  LAFAYETTE AVENUE,VENTNOR,NJ,08406,(609)487-7900
01,ATLANTIC,5350,Ventnor City School District,040,Ventnor Middle School,VENTNOR EDUCATIONAL COMMUNITY,VENTNOR,NJ,08406,(609)487-7900
01,ATLANTIC,5760,Weymouth Township School District,020,Weymouth Township Elementary School,1202 ELEVENTH AVENUE,DOROTHY,NJ,08317-9711,(609)476-2412
03,BERGEN,0040,ALLENDALE BOARD OF EDUCATION,010,Brookside,100 BROOKSIDE AVE,ALLENDALE,NJ,07401,(201)327-2020
03,BERGEN,0040,ALLENDALE BOARD OF EDUCATION,020,Hillside Elementary School,89 HILLSIDE AVENUE,ALLENDALE,NJ,07401,(201)327-2020
03,BERGEN,0080,Alpine Elementary School District,010,Alpine Elementary School,500 HILLSIDE AVENUE,ALPINE,NJ,07620,(201)768-8255
03,BERGEN,0285,Bergen County Special Services,100,AUTISTIC,355 EAST RIDGEWOOD AVE,PARAMUS,NJ,07652,(201)265-1113
03,BERGEN,0285,Bergen County Special Services,050,EMOTIONALLY DISTURBED,327 EAST RIDGEWOOD AVE,PARAMUS,NJ,07652-4832,(201)342-8888
03,BERGEN,0285,Bergen County Special Services,030,HEARING IMPAIRED,327 EAST RIDGEWOOD AVENUE,PARAMUS,NJ,07652,(201)670-9340
03,BERGEN,0285,Bergen County Special Services,070,LIFE SKILLS,327 EAST RIDGEWOOD AVE,PARAMUS,NJ,07652-4832,(201)438-0223
03,BERGEN,0285,Bergen County Special Services,040,MULTIPLY HANDICAPED,327 EAST RIDGEWOOD AVENUE,PARAMUS,NJ,07652-1831,(201)343-1230
03,BERGEN,0285,Bergen County Special Services,003,Millburn Regional Day School,70 SPRING STREET,MILLBURN,NJ,07041,(201)343-6000
03,BERGEN,0285,Bergen County Special Services,002,N. A. Bleshman Regional Day School,70 SPRING STREET,MILLBURN,NJ,07041,(201)343-6000
03,BERGEN,0290,Bergen County Vocational Technical Schools,020,Bergen County Academies,200 Hackensack Avenue,Hackensack,NJ,07601-6110,(201)343-6000
03,BERGEN,0290,Bergen County Vocational Technical Schools,075,Bergen County Technical High School - Paramus,E.285 Pascack Rodd,Paramus,NJ,07652-4237,(201)343-6000
