 County Name, School Name, Address, City, State, Zip, Phone,Rating
ESSEX,ABINGTON AVENUE SCHOOL,209 ABINGTON AVE,NEWARK,NJ,07107-2507,(973)268-5230,2
ESSEX,ANN STREET SCHOOL,30 ANN ST,NEWARK,NJ,07105-3108,(973)465-4890,8
ESSEX,ARTS HIGH SCHOOL,550 M  L  KING BLVD,NEWARK,NJ,07102-1214,(973)733-7391,4
ESSEX,AMERICAN HISTORY HIGH SCHOOL,74 Montgomery St,NEWARK,NJ,7103,(973)733-7333,6
ESSEX,BARD EARLY COLLEGE HIGH SCHOOL,321 BERGEN STREET,NEWARK,NJ,7103,(212)995-8479,3
ESSEX,BARRINGER HIGH SCHOOL,90 PARKER ST,NEWARK,NJ,07104-1028,(973)268-5125,1
ESSEX,BRANCH BROOK SCHOOL,228 RIDGE ST,NEWARK,NJ,07104-1204,(973)268-5220,4
ESSEX,CAMDEN STREET ELEMENTARY SCHOOL,281 CAMDEN ST,NEWARK,NJ,07103-2635,(973)733-6994,1
ESSEX,CENTRAL HIGH SCHOOL,250 18TH AVENUE,NEWARK,NJ,7103,(973)733-6378,1
ESSEX,CLEVELAND ELEMENTARY SCHOOL,388 BERGEN ST,NEWARK,NJ,07103-2232,(973)733-6944,1
ESSEX,Dr. E. ALMA FLAGG SCHOOL,150 THIRD ST,NEWARK,NJ,07104-2002,(973)268-5190,1
ESSEX,EAST SIDE HIGH SCHOOL,238 VAN BUREN ST,NEWARK,NJ,07105-2512,(973)465-4900,3
ESSEX,ELLIOTT STREET ELEMENTARY SCHOOL,284 FIRST AVENUE,NEWARK,NJ,07104-3422,(973)268-5360,1
ESSEX,FAST TRACK SUCCESS ACADEMY,190 MUHAMMAD ALI AVENUE,NEWARK,NJ,7108,(973)424-4391,1
ESSEX,FIRST AVENUE SCHOOL,214 FIRST AVE,NEWARK,NJ,07107-1802,(973)268-5240,3
ESSEX,HARRIET TUBMAN ELEMENTARY SCHOOL,504 S TENTH ST,NEWARK,NJ,07103-1802,(973)733-6934,3
ESSEX,LOUISE A SPENCER ELEMENTARY SCHOOL,66 MUHAMMAD ALI AVENUE,NEWARK,NJ,07108-2914,(973)733-6931,2
ESSEX,LUIS MUNOZ MARIN ELEMENTARY SCHOOL,663 Broadway,NEWARK,NJ,7104,(973)268-5330,2
